种类	别名	type	alias	PhysicalHarm	Acute	Chronic	Intravenous	Dependence	Pleasure	PsychologicalDependence	PhysicalDependence	SocialHarm	Intoxication	SocialHarma	HealthCareCosts
海洛因	| 白粉 | 白面 | 二乙酰吗啡	Heroin	| diacetylmorphine | diamorphine | Black | Black Tar | Black Pearl | Black Stuff | Black Eagle | Boy | Brown | Brown Crystal | Brown Rhine | Brown Sugar | Brown Tape | China White | Dope | Dope | Dragon | The Dragon | H | He | Horse | Junk | Mexican Brown | Mexican Mud | Mexican Horse | Mud | Number 3 | Number 4 | Number 8 | Sack | Scat | Skag | Skunk | Smack | Snow | Snowball | Tar | White | White Nurse | White Lady | White Horse | White Girl | White Boy | White Stuff | C21H23NO5	2.78	2.8	2.5	3.0	3.00	3.0	3.0	3.0	2.54	1.6	3.0	3.0
可卡因	-	Cocaine	| Aunt | Aunt Nora | Batman | Bazulco | Bernice | Bernie | Big C | Big Rush | Blow | Blowcaine | Bump | C | Candy | Charlie | Coca | Coke | Colombia | Crack | Dust | Flake | Gringa | Hubba | Line | Pearl | Powder | Rail | Rock | She | Snow | Stardust | Stash | White Girl | C17H21NO4	2.33	2.0	2.0	3.0	2.39	3.0	2.8	1.3	2.17	1.8	2.5	2.3
巴比妥类药物	-	Barbiturates	| Yellows | Red Birds | Red Devils | Amytal | Downers	2.23	2.3	1.9	2.5	2.01	2.0	2.2	1.8	2.00	2.4	1.9	1.7
美沙酮	-	Street Methadone	| Amidone | Dollies | Dolls | Done | Fizzies | Mud | Red Rock | Tootsie Roll	1.86	2.5	1.7	1.4	2.08	1.8	2.3	2.3	1.87	1.6	1.9	2.0
酒精	-	Alcohol	-	1.40	1.9	2.4	NA	1.93	2.3	1.9	1.6	2.21	2.2	2.4	2.1
氯胺酮	| K仔 | K粉 | K他命 | 褲子 | 迷奸粉	Ketamine	| Blind Squid | Cat Valium | Green | Jet | K | K-Hold | Kay | Special K | Super Acid | Vitamin K | C13H16ClNO	2.00	2.1	1.7	2.1	1.54	1.9	1.7	1.0	1.69	2.0	1.5	1.5
苯二氮平	-	Benzodiazepines	| Bars | Benzos | Blues | Chill Pills | Downers | Nerve Pills | Planks | Tranks | Zannies	1.63	1.5	1.7	1.8	1.83	1.7	2.1	1.8	1.65	2.0	1.5	1.5
安非他命	-	Amphetamine	| Addies | Bennies | Black Beauties | Crosses | Hearts | LA Turnaround | Speed | Truck Drivers | Uppers	1.81	1.3	1.8	2.4	1.67	2.0	1.9	1.1	1.50	1.4	1.5	1.6
烟草	-	Tobacco	-	1.24	0.9	2.9	0	2.21	2.3	2.6	1.8	1.42	0.8	1.1	2.4
丁基原啡因	解佳益	Buprenorphine	| Buse | Oranges | Sobos | Stops | Strips | Sub | Subs	1.60	1.2	1.3	2.3	1.64	2.0	1.5	1.5	1.49	1.6	1.5	1.4
