Year	Group	Value
1	G_1	0
1	G_10	0.0765472312703583
1	G_11	0
1	G_12	0
1	G_13	0.0521172638436482
1	G_14	0
1	G_15	0
1	G_16	0
1	G_17	0.0602605863192182
1	G_18	0.00977198697068404
1	G_19	0
1	G_2	0.0928338762214984
1	G_20	0
1	G_21	0
1	G_22	0
1	G_23	0.00162866449511401
1	G_24	0
1	G_25	0
1	G_26	0.0781758957654723
1	G_27	0
1	G_28	0
1	G_29	0
1	G_3	0
1	G_30	0.0912052117263844
1	G_31	0
1	G_32	0
1	G_33	0.0390879478827362
1	G_34	0.00325732899022801
1	G_35	0
1	G_36	0
1	G_37	0
1	G_38	0.0407166123778502
1	G_39	0
1	G_4	0.0146579804560261
1	G_40	0
1	G_41	0
1	G_42	0
1	G_43	0.0293159609120521
1	G_44	0.00488599348534202
1	G_45	0
1	G_46	0
1	G_47	0
1	G_48	0
1	G_49	0.0374592833876222
1	G_5	0
1	G_50	0
1	G_51	0.0944625407166124
1	G_52	0
1	G_53	0
1	G_54	0.0814332247557003
1	G_55	0.0667752442996743
1	G_56	0
1	G_57	0
1	G_58	0.0635179153094463
1	G_59	0
1	G_6	0.0276872964169381
1	G_60	0
1	G_7	0.0342019543973941
1	G_8	0
1	G_9	0
2	G_1	0
2	G_10	0.0529411764705882
2	G_11	0
2	G_12	0.0447058823529412
2	G_13	0.0541176470588235
2	G_14	0.00117647058823529
2	G_15	0.00705882352941176
2	G_16	0.0635294117647059
2	G_17	0
2	G_18	0.0658823529411765
2	G_19	0
2	G_2	0
2	G_20	0.0588235294117647
2	G_21	0.0705882352941176
2	G_22	0
2	G_23	0
2	G_24	0.00470588235294118
2	G_25	0
2	G_26	0.02
2	G_27	0
2	G_28	0
2	G_29	0
2	G_3	0
2	G_30	0
2	G_31	0
2	G_32	0.0611764705882353
2	G_33	0
2	G_34	0
2	G_35	0.0352941176470588
2	G_36	0
2	G_37	0.0305882352941176
2	G_38	0.0341176470588235
2	G_39	0.00823529411764706
2	G_4	0.0552941176470588
2	G_40	0.0176470588235294
2	G_41	0
2	G_42	0
2	G_43	0
2	G_44	0
2	G_45	0
2	G_46	0.0423529411764706
2	G_47	0
2	G_48	0
2	G_49	0
2	G_5	0
2	G_50	0
2	G_51	0.00941176470588235
2	G_52	0
2	G_53	0.0411764705882353
2	G_54	0
2	G_55	0
2	G_56	0.0694117647058824
2	G_57	0.0682352941176471
2	G_58	0.0258823529411765
2	G_59	0
2	G_6	0
2	G_60	0
2	G_7	0
2	G_8	0.0576470588235294
2	G_9	0
3	G_1	0
3	G_10	0
3	G_11	0.0711513583441138
3	G_12	0
3	G_13	0
3	G_14	0.0426908150064683
3	G_15	0
3	G_16	0.0232858990944373
3	G_17	0.018111254851229
3	G_18	0.0672703751617076
3	G_19	0
3	G_2	0
3	G_20	0
